Time@[Altitude (Baro-Ft-AGL)],[Altitude (Baro-Ft-AGL)],bILBA,Time@[Velocity (Accel-Ft/Sec)],[Velocity (Accel-Ft/Sec)],bILBA
2.545,1451.93,b1100,0.125,0,b0000
2.595,1482.77,b1110,0.1275,0,b0000
2.645,1507.69,b1110,0.13,0,b0000
2.695,1517.18,b1110,0.1325,0,b0000
2.745,1527.88,b1110,0.135,0,b0000
2.795,1540.94,b1110,0.1375,0,b0000
2.845,1545.7,b1110,0.14,0,b0000
2.895,1554.02,b1110,0.1425,0,b0000
2.945,1564.72,b1110,0.145,0,b0000
2.995,1576.62,b1110,0.1475,0,b0000
3.045,1588.52,b1110,0.15,0,b1000
3.095,1594.46,b1110,0.1525,-0.00723375,b1000
3.145,1598.04,b1110,0.155,0.00803748,b1000
3.195,1606.38,b1110,0.1575,0.101272,b1000
3.245,1623.05,b1110,0.16,0.217816,b1000
3.295,1640.92,b1110,0.1625,0.48225,b1000
3.345,1661.19,b1110,0.165,0.971736,b1000
3.395,1679.09,b1110,0.1675,1.92016,b1000
3.445,1695.8,b1110,0.17,3.03175,b1000
3.495,1714.9,b1110,0.1725,4.15137,b1000
3.545,1732.83,b1110,0.175,5.22437,b1000
3.595,1751.95,b1110,0.1775,6.33596,b1000
3.645,1771.09,b1110,0.18,7.40897,b1000
3.695,1785.46,b1110,0.1825,8.4667,b1000
3.745,1799.82,b1110,0.185,9.49309,b1000
3.795,1814.21,b1110,0.1875,10.5275,b1000
3.845,1830.98,b1110,0.19,11.5619,b1000
3.895,1845.37,b1110,0.1925,12.5803,b1000
3.945,1858.56,b1110,0.195,13.5673,b1000
3.995,1871.76,b1110,0.1975,14.5238,b1000
4.045,1888.57,b1110,0.2,15.4642,b1000
4.095,1905.39,b1110,0.2025,16.3893,b1000
4.145,1918.61,b1110,0.205,17.3224,b1000
4.195,1935.43,b1110,0.2075,18.2628,b1000
4.245,1948.66,b1110,0.21,19.1879,b1000
4.295,1958.28,b1110,0.2125,20.105,b1000
4.345,1967.91,b1110,0.215,21.0301,b1000
4.395,1982.37,b1110,0.2175,21.9552,b1000
4.445,1998.02,b1110,0.22,22.8804,b1000
4.495,2012.48,b1110,0.2225,23.7974,b1000
4.545,2025.74,b1110,0.225,24.7225,b1000
4.595,2040.21,b1110,0.2275,25.6477,b1000
4.645,2055.9,b1110,0.23,26.5728,b1000
4.695,2069.18,b1110,0.2325,27.3733,b1000
4.745,2086.08,b1110,0.235,28.1819,b1000
4.795,2101.79,b1110,0.2375,29.0218,b1000
4.845,2113.87,b1110,0.24,29.869,b1000
4.895,2121.13,b1110,0.2425,30.7241,b1000
4.945,2133.22,b1110,0.245,31.5874,b1000
4.995,2146.53,b1110,0.2475,32.4659,b1000
5.045,2156.21,b1110,0.25125,33.8065,b1000
5.095,2167.11,b1110,0.25375,34.7083,b1000
5.145,2180.42,b1110,0.25625,35.6182,b1000
5.195,2196.18,b1110,0.25875,36.5433,b1000
5.245,2211.94,b1110,0.26125,37.4764,b1000
5.295,2227.7,b1110,0.26375,38.4016,b1000
5.345,2241.05,b1110,0.26625,39.3267,b1000
5.395,2249.54,b1110,0.26875,40.2598,b1000
5.445,2261.69,b1110,0.27125,41.193,b1000
5.495,2276.26,b1110,0.27375,42.1261,b1000
5.545,2289.62,b1110,0.27625,43.0593,b1000
5.595,2301.78,b1110,0.27875,43.9925,b1000
5.645,2311.51,b1110,0.28125,44.9256,b1100
5.695,2322.45,b1110,0.28375,45.8588,b1100
5.745,2333.41,b1110,0.28625,46.7991,b1100
5.795,2344.35,b1110,0.28875,47.7395,b1100
5.845,2355.31,b1110,0.29125,48.6799,b1100
5.895,2367.49,b1110,0.29375,49.6283,b1100
5.945,2376.02,b1110,0.29625,50.5768,b1100
5.995,2385.77,b1110,0.29875,51.5172,b1100
6.045,2397.95,b1110,0.30125,52.4576,b1100
6.095,2410.15,b1110,0.30375,53.3979,b1100
6.145,2421.13,b1110,0.30625,54.3383,b1100
6.195,2432.11,b1110,0.30875,55.2715,b1100
6.245,2440.66,b1110,0.31125,56.2119,b1100
6.295,2449.21,b1110,0.31375,57.1603,b1100
6.345,2458.97,b1110,0.31625,58.1087,b1100
6.395,2469.97,b1110,0.31875,59.0571,b1100
6.445,2480.97,b1110,0.32125,59.9975,b1100
6.495,2489.52,b1110,0.32375,60.9379,b1100
6.545,2499.3,b1110,0.32625,61.8783,b1100
6.595,2509.09,b1110,0.32875,62.8187,b1100
6.645,2518.88,b1110,0.33125,63.7591,b1100
6.695,2527.44,b1110,0.33375,64.6995,b1100
6.745,2537.24,b1110,0.33625,65.6399,b1100
6.795,2545.81,b1110,0.33875,66.5802,b1100
6.845,2555.61,b1110,0.34125,67.5134,b1100
6.895,2565.4,b1110,0.34375,68.4465,b1100
6.945,2572.76,b1110,0.34625,69.3717,b1100
6.995,2582.57,b1110,0.34875,70.3048,b1100
7.045,2592.37,b1110,0.35125,71.238,b1100
7.095,2600.96,b1110,0.35375,72.1711,b1100
7.145,2610.78,b1110,0.35625,73.1043,b1100
7.195,2618.14,b1110,0.35875,74.0374,b1100
7.245,2626.73,b1110,0.36125,74.9626,b1100
7.295,2635.33,b1110,0.36375,75.8877,b1100
7.345,2642.7,b1110,0.36625,76.8208,b1100
7.395,2652.52,b1110,0.36875,77.7459,b1100
7.445,2661.12,b1110,0.37125,78.663,b1100
7.495,2668.49,b1110,0.37375,79.5881,b1100
7.545,2675.87,b1110,0.37625,80.5132,b1100
7.595,2684.48,b1110,0.37875,81.4384,b1100
7.645,2693.09,b1110,0.38125,82.3635,b1100
7.695,2699.23,b1110,0.38375,83.2886,b1100
7.745,2706.62,b1110,0.38625,84.2137,b1100
7.795,2715.24,b1110,0.38875,85.1469,b1100
7.845,2723.85,b1110,0.39125,86.08,b1100
7.895,2732.47,b1110,0.39375,87.0051,b1100
7.945,2738.63,b1110,0.39625,87.9303,b1100
7.995,2746.02,b1110,0.39875,88.8554,b1100
8.045,2753.42,b1110,0.40125,89.7724,b1100
8.095,2760.81,b1110,0.40375,90.6895,b1100
8.145,2766.97,b1110,0.40625,91.6066,b1100
8.195,2773.14,b1110,0.40875,92.5237,b1100
8.245,2779.3,b1110,0.41125,93.4408,b1100
8.295,2786.7,b1110,0.41375,94.3578,b1100
8.345,2794.11,b1110,0.41625,95.283,b1100
8.395,2800.27,b1110,0.41875,96.2081,b1100
8.445,2807.67,b1110,0.42125,97.1332,b1100
8.495,2813.85,b1110,0.42375,98.0583,b1100
8.545,2820.02,b1110,0.42625,98.9834,b1100
8.595,2826.2,b1110,0.42875,99.9166,b1100
8.645,2832.37,b1110,0.43125,100.85,b1100
8.695,2839.78,b1110,0.43375,101.775,b1100
8.745,2844.73,b1110,0.43625,102.7,b1100
8.795,2849.67,b1110,0.43875,103.625,b1100
8.845,2855.85,b1110,0.44125,104.542,b1100
8.895,2860.8,b1110,0.44375,105.459,b1100
8.945,2866.98,b1110,0.44625,106.376,b1100
8.995,2873.16,b1110,0.44875,107.286,b1100
9.045,2878.11,b1110,0.45125,108.196,b1100
9.095,2883.05,b1110,0.45375,109.098,b1100
9.145,2888,b1110,0.45625,110,b1100
9.195,2894.19,b1110,0.45875,110.901,b1100
9.245,2899.14,b1110,0.46125,111.795,b1100
9.295,2904.09,b1110,0.46375,112.689,b1100
9.345,2909.04,b1110,0.46625,113.583,b1100
9.395,2914,b1110,0.46875,114.469,b1100
9.445,2918.95,b1110,0.47125,115.363,b1100
9.495,2922.66,b1110,0.47375,116.257,b1100
9.545,2927.62,b1110,0.47625,117.143,b1100
9.595,2931.34,b1110,0.47875,118.03,b1100
9.645,2936.29,b1110,0.48125,118.924,b1100
9.695,2940.01,b1110,0.48375,119.817,b1100
9.745,2944.96,b1110,0.48625,120.711,b1100
9.795,2948.68,b1110,0.48875,121.605,b1100
9.845,2953.64,b1110,0.49125,122.499,b1100
9.895,2957.36,b1110,0.49375,123.393,b1100
9.945,2961.08,b1110,0.49625,124.294,b1100
9.995,2964.8,b1110,0.49875,125.188,b1100
10.045,2968.52,b1110,0.50125,126.082,b1100
10.095,2972.25,b1110,0.50375,126.976,b1100
10.145,2975.96,b1110,0.50625,127.877,b1100
10.195,2979.68,b1110,0.50875,128.771,b1100
10.245,2983.41,b1110,0.51125,129.665,b1100
10.295,2987.13,b1110,0.51375,130.552,b1100
10.345,2989.61,b1110,0.51625,131.445,b1100
10.395,2993.34,b1110,0.51875,132.339,b1100
10.445,2995.82,b1110,0.52125,133.233,b1100
10.495,2999.54,b1110,0.52375,134.127,b1100
10.545,3002.02,b1110,0.52625,135.02,b1100
10.595,3004.51,b1110,0.52875,135.914,b1100
10.645,3008.23,b1110,0.53125,136.808,b1100
10.695,3010.72,b1110,0.53375,137.702,b1100
10.745,3013.2,b1110,0.53625,138.595,b1100
10.795,3015.69,b1110,0.53875,139.489,b1100
10.845,3018.17,b1110,0.54125,140.376,b1100
10.895,3020.65,b1110,0.54375,141.262,b1100
10.945,3023.14,b1110,0.54625,142.149,b1100
10.995,3025.62,b1110,0.54875,143.051,b1100
11.045,3026.87,b1110,0.55125,143.944,b1100
11.095,3029.35,b1110,0.55375,144.838,b1100
11.145,3031.84,b1110,0.55625,145.608,b1100
11.195,3033.08,b1110,0.55875,146.393,b1100
11.245,3035.56,b1110,0.56125,147.187,b1100
11.295,3038.05,b1110,0.56375,147.987,b1100
11.345,3039.29,b1110,0.56625,148.796,b1100
11.395,3040.53,b1110,0.56875,149.612,b1100
11.445,3043.02,b1110,0.57125,150.429,b1100
11.495,3044.27,b1110,0.57375,151.253,b1100
11.545,3045.51,b1110,0.57625,152.077,b1100
11.595,3046.75,b1110,0.57875,152.917,b1100
11.645,3047.99,b1110,0.58125,153.764,b1100
11.695,3050.48,b1110,0.58375,154.611,b1100
11.745,3050.48,b1110,0.58625,155.466,b1100
11.795,3051.72,b1110,0.58875,156.321,b1100
11.845,3052.97,b1110,0.59125,157.185,b1100
11.895,3054.21,b1110,0.59375,158.048,b1100
11.945,3054.21,b1110,0.59625,158.911,b1100
11.995,3055.45,b1110,0.59875,159.79,b1100
12.045,3056.7,b1110,0.60125,160.66,b1100
12.095,3056.7,b1110,0.60375,161.538,b1100
12.145,3057.94,b1110,0.60625,162.425,b1100
12.195,3057.94,b1110,0.60875,163.312,b1100
12.245,3057.94,b1110,0.61125,164.198,b1100
12.295,3059.19,b1110,0.61375,165.077,b1100
12.345,3059.19,b1110,0.61625,165.963,b1100
12.395,3059.19,b1110,0.61875,166.842,b1100
12.445,3059.19,b1110,0.62125,167.72,b1100
12.495,3059.19,b1111,0.62375,168.591,b1100
12.545,3059.19,b1111,0.62625,169.461,b1100
12.595,3059.19,b1111,0.62875,170.332,b1100
12.645,3059.19,b1111,0.63125,171.21,b1100
12.695,3059.19,b1111,0.63375,172.08,b1100
12.745,3057.94,b1111,0.63625,172.951,b1100
12.795,3056.7,b1111,0.63875,173.821,b1100
12.845,3056.7,b1111,0.64125,174.692,b1100
12.895,3056.7,b1111,0.64375,175.562,b1100
12.945,3055.45,b1111,0.64625,176.433,b1100
12.995,3054.21,b1111,0.64875,177.303,b1100
13.045,3054.21,b1111,0.65125,178.174,b1100
13.095,3052.97,b1111,0.65375,179.044,b1100
13.145,3051.72,b1111,0.65625,179.923,b1100
13.195,3051.72,b1111,0.65875,180.801,b1100
13.245,3050.48,b1111,0.66125,181.68,b1100
13.295,3049.23,b1111,0.66375,182.558,b1100
13.345,3047.99,b1111,0.66625,183.429,b1100
13.395,3046.75,b1111,0.66875,184.299,b1100
13.445,3045.51,b1111,0.67125,185.178,b1100
13.495,2815.09,b1111,0.67375,186.056,b1100
13.545,2868.21,b1111,0.67625,186.927,b1100
13.595,2892.95,b1111,0.67875,187.805,b1100
13.645,2917.71,b1111,0.68125,188.675,b1100
13.695,2938.77,b1111,0.68375,189.546,b1100
13.745,2962.32,b1111,0.68625,190.416,b1100
13.795,2980.92,b1111,0.68875,191.287,b1100
13.845,2994.58,b1111,0.69125,192.157,b1100
13.895,3005.75,b1111,0.69375,193.028,b1100
13.945,3013.2,b1111,0.69625,193.898,b1100
13.995,3016.93,b1111,0.69875,194.769,b1100
14.045,3019.41,b1111,0.70125,195.639,b1100
14.095,3021.89,b1111,0.70375,196.393,b1100
14.145,3023.14,b1111,0.70625,197.155,b1100
14.195,3021.89,b1111,0.70875,197.932,b1100
14.245,3020.65,b1111,0.71125,198.726,b1100
14.295,3019.41,b1111,0.71375,199.519,b1100
14.345,3016.93,b1111,0.71625,200.319,b1100
14.395,3014.45,b1111,0.71875,201.128,b1100
14.445,3010.72,b1111,0.72125,201.937,b1100
14.495,3006.99,b1111,0.72375,202.753,b1100
14.545,3003.26,b1111,0.72625,203.57,b1100
14.595,3000.78,b1111,0.72875,204.402,b1100
14.645,2997.06,b1111,0.73125,205.226,b1100
14.695,2993.34,b1111,0.73375,206.057,b1100
14.745,2989.61,b1111,0.73625,206.889,b1100
14.795,2985.89,b1111,0.73875,207.729,b1100
14.845,2982.16,b1111,0.74125,208.569,b1100
14.895,2978.44,b1111,0.74375,209.409,b1100
14.945,2974.72,b1111,0.74625,210.256,b1100
14.995,2969.77,b1111,0.74875,211.103,b1100
15.045,2966.04,b1111,0.75125,211.951,b1100
15.095,2961.08,b1111,0.75375,212.798,b1100
15.145,2957.36,b1111,0.75625,213.645,b1100
15.195,2953.64,b1111,0.75875,214.492,b1100
15.245,2949.92,b1111,0.76125,215.339,b1100
15.295,2944.96,b1111,0.76375,216.194,b1100
15.345,2941.25,b1111,0.76625,217.049,b1100
15.395,2936.29,b1111,0.76875,217.905,b1100
15.445,2932.58,b1111,0.77125,218.752,b1100
15.495,2928.86,b1111,0.77375,219.607,b1100
15.545,2925.14,b1111,0.77625,220.462,b1100
15.595,2921.43,b1111,0.77875,221.317,b1100
15.645,2917.71,b1111,0.78125,222.173,b1100
15.695,2914,b1111,0.78375,223.02,b1100
15.745,2910.28,b1111,0.78625,223.867,b1100
15.795,2905.33,b1111,0.78875,224.714,b1100
15.845,2901.62,b1111,0.79125,225.569,b1100
15.895,2897.9,b1111,0.79375,226.416,b1100
15.945,2892.95,b1111,0.79625,227.272,b1100
15.995,2889.24,b1111,0.79875,228.119,b1100
16.045,2884.29,b1111,0.80125,228.974,b1100
16.095,2879.34,b1111,0.80375,229.829,b1100
16.145,2874.4,b1111,0.80625,230.692,b1100
16.195,2870.69,b1111,0.80875,231.548,b1100
16.245,2865.74,b1111,0.81125,232.395,b1100
16.295,2860.8,b1111,0.81375,233.242,b1100
16.345,2855.85,b1111,0.81625,234.089,b1100
16.395,2849.67,b1111,0.81875,234.929,b1100
16.445,2843.49,b1111,0.82125,235.769,b1100
16.495,2834.84,b1111,0.82375,236.609,b1100
16.545,2827.43,b1111,0.82625,237.441,b1100
16.595,2820.02,b1111,0.82875,238.281,b1100
16.645,2811.38,b1111,0.83125,239.12,b1100
16.695,2803.97,b1111,0.83375,239.96,b1100
16.745,2796.57,b1111,0.83625,240.792,b1100
16.795,2790.41,b1111,0.83875,241.624,b1100
16.845,2785.46,b1111,0.84125,242.456,b1100
16.895,2779.3,b1111,0.84375,243.288,b1100
16.945,2771.91,b1111,0.84625,244.12,b1100
16.995,2766.97,b1111,0.84875,244.952,b1100
17.045,2759.58,b1111,0.85125,245.784,b1100
17.095,2752.18,b1111,0.85375,246.623,b1100
17.145,2744.79,b1111,0.85625,247.455,b1100
17.195,2737.4,b1111,0.85875,248.287,b1100
17.245,2730.01,b1111,0.86125,249.127,b1100
17.295,2723.85,b1111,0.86375,249.959,b1100
17.345,2717.7,b1111,0.86625,250.799,b1100
17.395,2710.31,b1111,0.86875,251.631,b1100
17.445,2704.16,b1111,0.87125,252.471,b1100
17.495,2698,b1111,0.87375,253.311,b1100
17.545,2690.63,b1111,0.87625,254.143,b1100
17.595,2684.48,b1111,0.87875,254.974,b1100
17.645,2677.1,b1111,0.88125,255.806,b1100
17.695,2669.73,b1111,0.88375,256.638,b1100
17.745,2662.35,b1111,0.88625,257.47,b1100
17.795,2654.98,b1111,0.88875,258.302,b1100
17.845,2647.6,b1111,0.89125,259.126,b1100
17.895,2640.23,b1111,0.89375,259.95,b1100
17.945,2631.64,b1111,0.89625,260.766,b1100
17.995,2623.05,b1111,0.89875,261.59,b1100
18.045,2615.68,b1111,0.90125,262.414,b1100
18.095,2609.55,b1111,0.90375,263.238,b1100
18.145,2602.19,b1111,0.90625,264.062,b1100
18.195,2594.83,b1111,0.90875,264.885,b1100
18.245,2587.47,b1111,0.91125,265.709,b1100
18.295,2580.11,b1111,0.91375,266.533,b1100
18.345,2571.53,b1111,0.91625,267.357,b1100
18.395,2564.18,b1111,0.91875,268.181,b1100
18.445,2554.39,b1111,0.92125,269.005,b1100
18.495,2545.81,b1111,0.92375,269.829,b1100
18.545,2538.46,b1111,0.92625,270.652,b1100
18.595,2531.12,b1111,0.92875,271.476,b1100
18.645,2523.78,b1111,0.93125,272.293,b1100
18.695,2515.21,b1111,0.93375,273.109,b1100
18.745,2507.87,b1111,0.93625,273.918,b1100
18.795,2499.3,b1111,0.93875,274.727,b1100
18.845,2491.97,b1111,0.94125,275.527,b1100
18.895,2482.19,b1111,0.94375,276.336,b1100
18.945,2473.63,b1111,0.94625,277.136,b1100
18.995,2465.08,b1111,0.94875,277.937,b1100
19.045,2456.53,b1111,0.95125,278.745,b1100
19.095,2446.76,b1111,0.95375,279.562,b1100
19.145,2439.44,b1111,0.95625,280.379,b1100
19.195,2429.67,b1111,0.95875,281.195,b1100
19.245,2419.91,b1111,0.96125,282.019,b1100
19.295,2411.37,b1111,0.96375,282.836,b1100
19.345,2402.83,b1111,0.96625,283.659,b1100
19.395,2394.3,b1111,0.96875,284.483,b1100
19.445,2385.77,b1111,0.97125,285.3,b1100
19.495,2374.8,b1111,0.97375,286.117,b1100
19.545,2365.06,b1111,0.97625,286.933,b1100
19.595,2355.31,b1111,0.97875,287.75,b1100
19.645,2345.58,b1111,0.98125,288.566,b1100
19.695,2337.05,b1111,0.98375,289.375,b1100
19.745,2327.32,b1111,0.98625,290.183,b1100
19.795,2318.81,b1111,0.98875,290.992,b1100
19.845,2309.07,b1111,0.99125,291.801,b1100
19.895,2301.78,b1111,0.99375,292.609,b1100
19.945,2292.05,b1111,0.99625,293.41,b1100
19.995,2283.55,b1111,0.99875,294.218,b1100
20.045,2273.83,b1111,1.00125,295.019,b1100
20.095,2264.11,b1111,1.00375,295.812,b1100
20.145,2254.4,b1111,1.00625,296.605,b1100
20.195,2243.47,b1111,1.00875,297.391,b1100
20.245,2233.76,b1111,1.01125,298.184,b1100
20.295,2224.06,b1111,1.01375,298.969,b1100
20.345,2215.58,b1111,1.01625,299.755,b1100
20.395,2205.88,b1111,1.01875,300.54,b1100
20.445,2194.97,b1111,1.02125,301.333,b1100
20.495,2185.27,b1111,1.02375,302.126,b1100
20.545,2175.59,b1111,1.02625,302.92,b1100
20.595,2165.9,b1111,1.02875,303.713,b1100
20.645,2156.21,b1111,1.03125,304.506,b1100
20.695,2146.53,b1111,1.03375,305.3,b1100
20.745,2136.85,b1111,1.03625,306.085,b1100
20.795,2127.17,b1111,1.03875,306.87,b1100
20.845,2117.5,b1111,1.04125,307.647,b1100
20.895,2106.62,b1111,1.04375,308.425,b1100
20.945,2094.53,b1111,1.04625,309.202,b1100
20.995,1811.8,b1111,1.04875,309.987,b1100
21.045,1865.76,b1111,1.05125,310.772,b1100
21.095,1912.6,b1111,1.05375,311.558,b1100
21.145,1951.07,b1111,1.05625,312.343,b1100
21.195,2088.5,b1111,1.05875,313.12,b1100
21.245,2129.59,b1111,1.06125,313.897,b1100
21.295,2110.25,b1111,1.06375,314.675,b1100
21.345,2099.37,b1111,1.06625,315.452,b1100
21.395,2096.95,b1111,1.06875,316.229,b1100
21.445,2095.75,b1111,1.07125,317.006,b1100
21.495,2055.9,b1111,1.07375,317.783,b1100
21.545,2042.62,b1111,1.07625,318.553,b1100
21.595,2018.51,b1111,1.07875,319.323,b1100
21.645,2001.64,b1111,1.08125,320.093,b1100
21.695,1990.79,b1111,1.08375,320.863,b1100
21.745,1966.71,b1111,1.08625,321.641,b1100
21.795,1945.05,b1111,1.08875,322.418,b1100
21.845,1936.64,b1111,1.09125,323.195,b1100
21.895,1929.42,b1111,1.09375,323.972,b1100
21.945,1913.79,b1111,1.09625,324.75,b1100
21.995,1904.18,b1111,1.09875,325.527,b1100
22.045,1896.98,b1111,1.10125,326.304,b1100
22.095,1889.77,b1111,1.10375,327.081,b1100
22.145,1882.57,b1111,1.10625,327.858,b1100
22.195,1875.36,b1111,1.10875,328.636,b1100
22.245,1866.96,b1111,1.11125,329.413,b1100
22.295,1858.56,b1111,1.11375,330.19,b1100
22.345,1851.37,b1111,1.11625,330.967,b1100
22.395,1847.76,b1111,1.11875,331.745,b1100
22.445,1847.76,b1111,1.12125,332.522,b1100
22.495,1845.37,b1111,1.12375,333.307,b1100
22.545,1842.97,b1111,1.12625,334.084,b1100
22.595,1838.17,b1111,1.12875,334.862,b1100
22.645,1830.98,b1111,1.13125,335.639,b1100
22.695,1824.99,b1111,1.13375,336.416,b1100
22.745,1823.78,b1111,1.13625,337.186,b1100
22.795,1823.78,b1111,1.13875,337.956,b1100
22.845,1823.78,b1111,1.14125,338.718,b1100
22.895,1821.39,b1111,1.14375,339.48,b1100
22.945,1819,b1111,1.14625,340.242,b1100
22.995,1816.6,b1111,1.14875,341.004,b1100
23.045,1811.8,b1111,1.15125,341.766,b1100
23.095,1809.41,b1111,1.15375,342.52,b1100
23.145,1805.81,b1111,1.15625,343.274,b1100
23.195,1801.03,b1111,1.15875,344.028,b1100
23.245,1792.65,b1111,1.16125,344.773,b1100
23.295,1785.46,b1111,1.16375,345.527,b1100
23.345,1781.87,b1111,1.16625,346.273,b1100
23.395,1779.48,b1111,1.16875,347.027,b1100
23.445,1778.28,b1111,1.17125,347.781,b1100
23.495,1777.08,b1111,1.17375,348.535,b1100
23.545,1777.08,b1111,1.17625,349.289,b1100
23.595,1777.08,b1111,1.17875,350.035,b1100
23.645,1777.08,b1111,1.18125,350.781,b1100
23.695,1777.08,b1111,1.18375,351.535,b1100
23.745,1773.5,b1111,1.18625,352.28,b1100
23.795,1769.9,b1111,1.18875,353.034,b1100
23.845,1766.31,b1111,1.19125,353.78,b1100
23.895,1762.72,b1111,1.19375,354.534,b1100
23.945,1757.94,b1111,1.19625,355.28,b1100
23.995,1753.15,b1111,1.19875,356.026,b1100
24.045,1749.57,b1111,1.20125,356.772,b1100
24.095,1749.57,b1111,1.20375,357.518,b1100
24.145,1748.37,b1111,1.20625,358.272,b1100
24.195,1747.18,b1111,1.20875,359.017,b1100
24.245,1743.59,b1111,1.21125,359.771,b1100
24.295,1738.8,b1111,1.21375,360.525,b1100
24.345,1732.83,b1111,1.21625,361.271,b1100
24.395,1730.44,b1111,1.21875,362.025,b1100
24.445,1729.24,b1111,1.22125,362.771,b1100
24.495,1728.04,b1111,1.22375,363.525,b1100
24.545,1726.85,b1111,1.22625,364.271,b1100
24.595,1724.46,b1111,1.22875,365.009,b1100
24.645,1722.07,b1111,1.23125,365.755,b1100
24.695,1717.29,b1111,1.23375,366.501,b1100
24.745,1711.32,b1111,1.23625,367.247,b1100
24.795,1706.55,b1111,1.23875,367.986,b1100
24.845,1702.96,b1111,1.24125,368.724,b1100
24.895,1699.38,b1111,1.24375,369.463,b1100
24.945,1695.8,b1111,1.24625,370.202,b1100
24.995,1694.6,b1111,1.24875,370.94,b1100
25.045,1693.41,b1111,1.25125,371.679,b1100
25.095,1693.41,b1111,1.25375,372.418,b1100
25.145,1693.41,b1111,1.25625,373.156,b1100
25.195,1692.22,b1111,1.25875,373.887,b1100
25.245,1689.82,b1111,1.26125,374.625,b1100
25.295,1687.44,b1111,1.26375,375.364,b1100
25.345,1686.24,b1111,1.26625,376.103,b1100
25.395,1686.24,b1111,1.26875,376.841,b1100
25.445,1686.24,b1111,1.27125,377.572,b1100
25.495,1685.06,b1111,1.27375,378.303,b1100
25.545,1685.06,b1111,1.27625,379.041,b1100
25.595,1683.86,b1111,1.27875,379.78,b1100
25.645,1682.66,b1111,1.28125,380.511,b1100
25.695,1681.47,b1111,1.28375,381.241,b1100
25.745,1677.89,b1111,1.28625,381.972,b1100
25.795,1673.12,b1111,1.28875,382.702,b1100
25.845,1668.35,b1111,1.29125,383.433,b1100
25.895,1664.77,b1111,1.29375,384.156,b1100
25.945,1661.19,b1111,1.29625,384.878,b1100
25.995,1656.42,b1111,1.29875,385.601,b1100
26.045,1652.84,b1111,1.30125,386.331,b1100
26.095,1649.27,b1111,1.30375,387.062,b1100
26.145,1646.88,b1111,1.30625,387.792,b1100
26.195,1643.31,b1111,1.30875,388.515,b1100
26.245,1640.92,b1111,1.31125,389.246,b1100
26.295,1637.34,b1111,1.31375,389.968,b1100
26.345,1634.96,b1111,1.31625,390.699,b1100
26.395,1633.77,b1111,1.31875,391.429,b1100
26.445,1632.58,b1111,1.32125,392.16,b1100
26.495,1630.2,b1111,1.32375,392.891,b1100
26.545,1627.81,b1111,1.32625,393.629,b1100
26.595,1626.62,b1111,1.32875,394.36,b1100
26.645,1625.43,b1111,1.33125,395.091,b1100
26.695,1625.43,b1111,1.33375,395.821,b1100
26.745,1625.43,b1111,1.33625,396.552,b1100
